name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"nvirtualcall",426878,4959471500,5071136100,4959471500,11618,0,0,2342,0,0
"virtualcall",429660,4871064800,4987328500,4871064800,11337,0,0,2327,0,0
