name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"exception",3469311,4988870083,5008500041,4988870083,1438,0,0,288,0,0
"retcodes",42958,4951315917,4952598375,4951315917,115257,0,0,23278,0,0
