name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"sumfib_coro",215889,4988986417,5071746959,4988986417,23109,0,0,4632,0,0
"sumfib",215769,4990534916,4997776542,4990534916,23129,0,0,4634,0,0
