name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"excpart",1850,1850,1866,4934976460,2667269,0,0,540482,0,0
"nexcpart",1857,1845,1869,4944428092,2661856,0,0,538354,0,0
