name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"extswap",6276,6276,6386,4977887367,793056,0,0,159315,0,0
"intswap",3697,3643,3708,4968871572,1343693,0,0,270422,0,0
