name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"nvirtualcall",22648,4925922083,5177177637,4925922083,217499,0,0,44153,0,0
"virtualcall",26531,4866791158,5345317626,4866791158,183434,0,0,37690,0,0
