name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"excpart",2072,4830448112,5072131869,4830448112,2330439,0,0,482447,0,0
"nexcpart",2100,4870052044,5009791345,4870052044,2317989,0,0,475968,0,0
