name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"nvirtualcall",401581,4999294266,5085689768,4999294266,12449,0,0,2490,0,0
"virtualcall",401353,4979590361,5049677401,4979590361,12407,0,0,2491,0,0
