name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"extswap",6697,4558169648,4868791178,4558169648,680571,0,0,149307,0,0
"intswap",4185,4956581964,5004233479,4956581964,1184204,0,0,238915,0,0
