name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"exception",51132,4965948737,5011048842,4965948737,97119,0,0,19556,0,0
"retcodes",51528,4923045498,5013095962,4923045498,95541,0,0,19406,0,0
