name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"excpart",1846,1838,1872,4949478757,2680041,0,0,541479,0,0
"nexcpart",1838,1838,1870,4988302436,2712550,0,0,543782,0,0
