name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"exception",860222,859357,869903,4979829866,5789,0,0,1162,0,0
"retcodes",11273,9586,56696,1008524231,89460,0,0,88703,0,0
