name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"sumfib_coro",305321,4419834300,6409756500,4419834300,14476,0,0,3275,0,0
"sumfib",283963,4757523400,5378371800,4757523400,16754,0,0,3521,0,0
