name,avg_time,min_time,max_time,total_time,total_operations,total_items,total_bytes,operations_per_second,items_per_second,bytes_per_second
"excpart",2120,4921444687,5020015680,4921444687,2321264,0,0,471663,0,0
"nexcpart",2098,4974846372,4999450990,4974846372,2371157,0,0,476629,0,0
